"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Parietal pleurectomy,","12.32.17",,,,,"Pleural procedure, Other","Thorax, lung and gastrointestinal procedures",13
"Open excision of pleural lesion,","12.65.72",,,,,"Pleural procedure, Other","Thorax, lung and gastrointestinal procedures",14
"Bronchoscopy,","12.64.00",,,,,"Bronchoscopy","Thorax, lung and gastrointestinal procedures",15
"Bronchoscopic removal of foreign body,","12.64.08",,,,,"Bronchoscopy","Thorax, lung and gastrointestinal procedures",16
"Tracheal procedure,","12.64.20",,,,,"Tracheal procedure","Thorax, lung and gastrointestinal procedures",17
"Tracheostomy creation,","12.64.21",,,,,"Postoperative tracheostomy","Thorax, lung and gastrointestinal procedures",18
"Tracheobronchial reconstruction procedure,","12.64.40",,,,,"Tracheal procedure","Thorax, lung and gastrointestinal procedures",19
"Lung procedure,","12.66.00",,,,,"Lung procedure, Other","Thorax, lung and gastrointestinal procedures",20
"Lung biopsy procedure,","12.32.06",,,,,"Lung biopsy","Thorax, lung and gastrointestinal procedures",21
"Lung decortication,","12.66.01",,,,,"Decortication","Thorax, lung and gastrointestinal procedures",22
"Lung mass excision,","12.66.02",,,,,"Lung procedure, Other","Thorax, lung and gastrointestinal procedures",23
"Lung lobectomy,","12.66.05",,,,,"Lung procedure, Other","Thorax, lung and gastrointestinal procedures",24
"Pneumonectomy,","12.66.06",,,,,"Lung procedure, Other","Thorax, lung and gastrointestinal procedures",25
"Lung sequestration repair,","12.66.07",,,,,"Lung procedure, Other","Thorax, lung and gastrointestinal procedures",26
"Thoracic-mediastinal procedure,","12.80.00",,,,,"Thoracic and-or mediastinal procedure, Other","Thorax, lung and gastrointestinal procedures",27
"Oesophageal procedure,","12.80.01",,,,,"Thoracic and-or mediastinal procedure, Other","Thorax, lung and gastrointestinal procedures",28
"Diaphragm procedure,","12.32.29",,,,,"Diaphragm procedure, Other","Thorax, lung and gastrointestinal procedures",29
"Intestinal procedure,","12.80.10",,,,,"Miscellaneous procedure, Other","Thorax, lung and gastrointestinal procedures",30
"Percutaneous feeding gastrostomy tube placement (PEG),","12.80.37",,,,,"Miscellaneous procedure, Other","Thorax, lung and gastrointestinal procedures",31
"Laparotomy,","12.80.38",,,,,"Miscellaneous procedure, Other","Thorax, lung and gastrointestinal procedures",32
"Non-cardiothoracic-vascular procedure,","12.33.52",,,,,"Miscellaneous procedure, Other","Thorax, lung and gastrointestinal procedures",33
"Non-cardiothoracic-vascular procedure on cardiac patient under cardiac anaesthesia,","12.33.53",,,,,"Non-cardiovascular, Non-thoracic procedure on cardiac patient with cardiac","Thorax, lung and gastrointestinal procedures",34
"Hybrid procedures: operative & transcatheter approaches",,,,,,,"Hybrid procedures: operative & transcatheter approaches",1
"Hybrid approach (combined surgical & transluminal),","12.41.30",,,,,"Cardiac procedure, Other","Hybrid procedures: operative & transcatheter approaches",2
"Transapical aortic valve implantation (hybrid approach),","12.13.84",,,,,"Stent placement","Hybrid procedures: operative & transcatheter approaches",3
"Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach),","12.08.28",,,,,"VSD repair, Device","Hybrid procedures: operative & transcatheter approaches",4
"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery),","12.20.21",,,,,"Cardiac procedure, Other","Hybrid procedures: operative & transcatheter approaches",5
"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery): stage 1,","12.20.20",,,,,"Hybrid Approach ""Stage 1""","Hybrid procedures: operative & transcatheter approaches",6
"Application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct,","12.10.04",,,,,"Cardiac procedure, Other","Hybrid procedures: operative & transcatheter approaches",7
"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",,,,,,"Cavopulmonary anastomosis(es) + PA Debanding + Aortic arch repair (Norwood","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",1
"debanding of pulmonary arteries + arch repair,","12.20.23",,,,,"[Stage 1] + Superior Cavopulmonary anastomosis(es) + PA Debanding)","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",2
"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",,,,,,"Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",3
"debanding of pulmonary arteries,","12.20.22",,,,,"Cavopulmonary anastomosis(es) + PA Debanding + Without aortic arch repair","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) +",4
"Transcatheter procedures",,,,,,,"Transcatheter procedures",1
"Cardiovascular catheter procedure,","12.45.00",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",2
"Therapeutic cardiovascular catheter procedure,","12.45.28",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",3
"Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,"Cardiovascular catheterization procedure, Diagnostic","Transcatheter procedures",4
"Diagnostic cardiovascular catheterisation procedure: angiographic data obtained,","13.05.05",,,,,"obtained","Transcatheter procedures",5
"Diagnostic cardiovascular catheterisation procedure with haemodynamic alteration (challenge),","13.05.07",,,,,"Cardiovascular catheterization procedure, Diagnostic, Hemodynamic alteration","Transcatheter procedures",6
"Diagnostic cardiovascular catheterisation procedure: haemodynamic data obtained,","13.05.06",,,,,"obtained","Transcatheter procedures",7
"Transluminal diagnostic test occlusion,","12.45.07",,,,,"Cardiovascular catheterization procedure, Diagnostic, Transluminal test occlusion","Transcatheter procedures",8
"Transluminal procedure using adjunctive therapy,","12.45.59",,,,,"Cardiovascular catheterization procedure, Therapeutic, Adjunctive therapy","Transcatheter procedures",9
"Electrophysiological study (EPS),","13.05.12",,,,,"Cardiovascular electrophysiological catheterization procedure","Transcatheter procedures",10
"Electrophysiological study (EPS) with three dimensional mapping,","13.05.17",,,,,"Cardiovascular electrophysiological catheterization procedure","Transcatheter procedures",11
"Diagnostic cardiovascular catheterisation procedure with electrophysiological alteration (challenge),","13.05.08",,,,,"Cardiovascular catheterization procedure, Diagnostic, Electrophysiology alteration","Transcatheter procedures",12
"Catheterisation study for pulmonary hypertension evaluation,","13.05.13",,,,,"Cardiovascular catheterization procedure, Diagnostic","Transcatheter procedures",13
"Transcatheter procedure undertaken with x-ray guidance,","13.05.14",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",14
"Transcatheter procedure undertaken with magnetic resonance imaging guidance,","13.05.15",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",15
"Transcatheter procedure undertaken with x-ray & magnetic resonance imaging guidance,","13.05.16",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",16
"Transcatheter intervention with intracardiac echo guidance (ICE),","13.01.23",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",17
"Catheterisation transeptal approach with transeptal puncture,","12.45.01",,,,,"Cardiovascular catheterization procedure","Transcatheter procedures",18
"Transluminal retrieval of device or foreign body,","12.45.04",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",19
"Repeat cardiovascular catheter procedure for residual or recurrent lesion,","12.45.06",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",20
"Balloon dilation of pulmonary vein or pathway,","12.00.24",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",21
"Balloon dilation of pulmonary vein,","12.00.21",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",22
"Balloon dilation of pulmonary vein using cutting balloon,","12.00.23",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",23
"Stent placement in pulmonary vein or pathway,","12.00.25",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",24
"Stent placement in pulmonary vein,","12.00.22",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",25
"Balloon dilation of systemic vein or pathway,","12.00.43",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",26
"Stent placement in systemic vein or pathway,","12.00.44",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",27
"Stent placement in superior caval vein (SVC),","12.00.36",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",28
"Balloon atrial septostomy by pull back (Rashkind),","12.01.41",,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy","Transcatheter procedures",29
"Blade atrial septostomy,","12.01.44",,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy","Transcatheter procedures",30
"Transluminal fenestration of atrial septum-tunnel,","12.01.47",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",31
"Transluminal interatrial communication creation,","12.30.74",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",32
"Interatrial communication closure with transluminal device,","12.01.98",,,,,"ASD repair, Device","Transcatheter procedures",33
"Atrial septal defect (ASD) secundum closure with transluminal device,","12.01.06",,,,,"ASD repair, Device","Transcatheter procedures",34
"Patent foramen ovale (PFO) closure with transluminal device,","12.01.07",,,,,"ASD repair, Device","Transcatheter procedures",35
"Right atrial septum-tunnel fenestration closure with transluminal device,","12.30.21",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",36
"Transluminal left atrial appendage occlusion with device,","12.38.25",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",37
"Balloon dilation of mitral valve,","12.03.10",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy","Transcatheter procedures",38
"Transluminal prosthetic valve leak closure using device,","12.45.19",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",39
"Transluminal mitral valve repair,","12.03.97",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",40
"Transluminal right ventricular biopsy,","12.06.25",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",41
"Balloon dilation of right ventricular outflow tract,","12.06.05",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",42
"Stent placement in right ventricular outflow tract,","12.06.18",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",43
"Balloon dilation of left ventricular outflow tract,","12.07.07",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",44
"Ventricular septal defect (VSD) closure with transluminal device,","12.08.07",,,,,"VSD repair, Device","Transcatheter procedures",45
"Transluminal fenestration of ventricular septal defect (VSD) patch,","12.08.20",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",46
"Transluminal interventricular communication creation,","12.08.65",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",47
"Balloon dilation of pulmonary valve,","12.13.05",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy","Transcatheter procedures",48
"Pulmonary valvar transluminal perforation & dilation,","12.13.09",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",49
"Balloon dilation of aortic valve,","12.16.05",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy","Transcatheter procedures",50
"Aortic valvar transluminal perforation & dilation,","12.16.25",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",51
"Transluminal pulmonary valvar insertion with stent mounted valve,","12.13.51",,,,,"of valve","Transcatheter procedures",52
"Transluminal aortic valvar insertion with stent mounted valve,","12.13.81",,,,,"of valve","Transcatheter procedures",53
"Balloon dilation of pulmonary tree with cutting balloon,","12.15.53",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",54
"Stent placement in pulmonary tree,","12.15.50",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",55
"Balloon dilation of pulmonary trunk,","12.14.05",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",56
"Balloon dilation of right pulmonary artery,","12.15.03",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",57
"Balloon dilation of left pulmonary artery,","12.15.04",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",58
"Stent placement in right pulmonary artery,","12.15.13",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",59
"Stent placement in left pulmonary artery,","12.15.14",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",60
"Pulmonary trunk flow restriction using transcatheter implanted device,","12.15.25",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",61
"Transluminal embolectomy from pulmonary tree,","12.15.49",,,,,"Pulmonary embolectomy","Transcatheter procedures",62
"Aortopulmonary window closure with transcatheter device,","12.12.08",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",63
"Aortic coarctation transluminal obstruction relief,","12.18.27",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",64
"Balloon dilation of native aortic coarctation-hypoplasia,","12.18.04",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",65
"Balloon dilation of aortic recoarctation,","12.18.08",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",66
"Stent placement at site of aortic coarctation,","12.18.17",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",67
"Stent placement at site of native aortic coarctation-hypoplasia,","12.18.48",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",68
"Stent placement at site of aortic recoarctation,","12.18.22",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",69
"Thoracic aorta aneurysm transcatheter stent implantation,","12.18.70",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",70
"Stent placement in arterial duct (PDA),","12.10.14",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",71
"Arterial duct (PDA) closure with transluminal device,","12.24.04",,,,,"PDA closure, Device","Transcatheter procedures",72
"Arterial duct (PDA) closure with transluminal coil,","12.24.21",,,,,"PDA closure, Device","Transcatheter procedures",73
"Arterial duct (PDA) closure with transluminal Amplatzer plug,","12.24.22",,,,,"PDA closure, Device","Transcatheter procedures",74
"Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.19",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",75
"Balloon dilation of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","12.25.72",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",76
"Stent placement in systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.62",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",77
"Transluminal occlusion of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) with coil-device,","12.25.65",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",78
"Arteriovenous fistula occlusion,","12.25.02",,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation","Transcatheter procedures",79
"Venovenous collateral occlusion with device,","12.70.08",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",80
"Completion of total cavopulmonary connection (TCPC) using transcatheter inferior to superior caval vein covered stent,","12.30.60",,,,,"completion","Transcatheter procedures",81
"Balloon dilation of systemic-to-pulmonary arterial shunt,","12.31.19",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",82
"Occlusion of systemic-to-pulmonary arterial shunt by transluminal device-embolus,","12.31.34",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",83
"Balloon dilation of cardiac conduit,","12.36.14",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",84
"Stent placement in cardiac conduit,","12.36.23",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",85
"Pericardiocentesis: percutaneous transcatheter,","12.32.43",,,,,"Pericardial drainage procedure","Transcatheter procedures",86
"Transluminal procedure for arrhythmia,","12.35.57",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",87
"Transluminal ablation procedure for arrhythmia,","12.38.40",,,,,"ablation","Transcatheter procedures",88
"Transluminal cryoablation procedure for arrhythmia,","12.35.46",,,,,"ablation","Transcatheter procedures",89
"Transluminal radiofrequency ablation procedure for arrhythmia,","12.35.48",,,,,"ablation","Transcatheter procedures",90
"Transluminal procedure for atrial arrhythmia,","12.35.82",,,,,"ablation","Transcatheter procedures",91
"Transluminal procedure for ventricular arrhythmia,","12.35.83",,,,,"ablation","Transcatheter procedures",92
"Transluminal ablation procedure with pulmonary vein exclusion,","12.35.84",,,,,"ablation","Transcatheter procedures",93
"Automatic cardioverter & defibrillator (ICD) transluminal implantation,","12.42.33",,,,,"ICD (AICD) Implantation","Transcatheter procedures",94
"Automatic cardioverter & defibrillator (ICD) transluminal removal,","12.42.35",,,,,"ICD (AICD) ([Automatic] implantable cardioverter defibrillator) procedure","Transcatheter procedures",95
"Stent redilation,","12.45.10",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent re-dilation","Transcatheter procedures",96
"Stent placement,","12.45.11",,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion","Transcatheter procedures",97
"Balloon dilation,","12.45.12",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation","Transcatheter procedures",98
"Balloon dilation of valve,","12.45.21",,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy","Transcatheter procedures",99
"Transluminal device implantation,","12.45.13",,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation","Transcatheter procedures",100
"Transluminal therapeutic perforation to establish interchamber and/or intervessel communication,","12.45.58",,,,,"interchamber and/or intervessel communication)","Transcatheter procedures",101
"Transluminal implantation of valve,","12.45.15",,,,,"of valve","Transcatheter procedures",102
"Cardiovascular catherisation occlusion procedure with coil,","12.45.14",,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation","Transcatheter procedures",103
"Transluminal procedure for catheterisation complication,","12.45.30",,,,,"Cardiovascular catheterization procedure, Therapeutic","Transcatheter procedures",104
"Procedure related complications",,,,,,,"Procedure related complications",1
"No postprocedural complications,","15.90.03",,,,,"None","Procedure related complications",2
"Procedure related complication,","15.90.14","998.9",,"T81.8",,"Other postoperative complication","Procedure related complications",3
"Postprocedural complication,","15.90.01","998.9",,"T81.8",,"Other postoperative complication","Procedure related complications",4
"Complication during period of anaesthetic care,","15.90.20","995.2",,"T88.5",,"Other postoperative complication","Procedure related complications",5
"Medication related complication or error,","15.59.00","E858.9",,"Y63.9",,"Other postoperative complication","Procedure related complications",6
"Complication related to echocardiographic procedure,","15.58.01","E879.8",,"Y84.8",,"Other postoperative complication","Procedure related complications",7
"Vascular line (access) related complication,","15.88.00","E876.9",,"Y65.8",,"Other postoperative complication","Procedure related complications",8
"Intraoperative death,","12.33.31",,,,,"Intraoperative death","Procedure related complications",9
"Death within 30 days of procedure,","12.33.33",,,,,,"Procedure related complications",10
"Death unrelated to cardiac procedure,","12.33.34",,,,,,"Procedure related complications",11
"Death attributable to complications following premature birth,","15.90.85",,,,,,"Procedure related complications",12
"Death attributable to complication(s) following congenital cardiac procedure,","15.90.86",,,,,,"Procedure related complications",13
"Cardiac arrest during procedure,","15.00.01","997.1",,"T81.8",,"Arrhythmia","Procedure related complications",14
"Cardiac arrest following procedure,","15.00.02","997.1",,"I97.8",,"Postoperative cardiac arrest","Procedure related complications",15
"Postprocedural low cardiac output,","15.00.03","997.1",,"I97.1",,"Postoperative low cardiac output","Procedure related complications",16
"Cardiopulmonary bypass complication,","15.77.00","996.1",,"T82.8",,"Other postoperative complication","Procedure related complications",17
"Postprocedural requirement for mechanical circulatory support,","15.00.09","997.1",,"I97.8",,"Postoperative mechanical circulatory support (IABP, VAD, ECMO, or CPS)","Procedure related complications",18
"Myocardial infarction following procedure,","15.00.05","997.1","410","I97.8","I21","Myocardial infarction","Procedure related complications",19
"Postprocedural hypovolaemia,","15.00.30","998.0",,"T81.1",,"Other postoperative complication","Procedure related complications",20
"Arrhythmia following procedure,","15.60.02","997.1",,"I97.8","I49.9","Postoperative arrhythmia","Procedure related complications",21
"Postprocedural complete atrioventricular block,","11.06.17","997.1",,"I44.2",,"Arrhythmia, Heart block, Acquired","Procedure related complications",22
"Procedure related complete atrioventricular block requiring temporary pacing,","11.06.32","997.1",,"I44.2","Y83.8","Postoperative complete AV block requiring temporary pacemaker","Procedure related complications",23
"Procedure related complete atrioventricular block requiring permanent pacemaker system,","11.06.33","997.1",,"I44.2","Y83.8","Postoperative complete AV block requiring permanent pacemaker","Procedure related complications",24
"Junctional ectopic tachycardia (His bundle): post-op,","11.04.12","997.1",,"I97.1",,"Postoperative arrhythmia","Procedure related complications",25
"Postprocedural haemorrhage,","15.02.00","998.1",,"T81.0",,"Postoperative bleeding","Procedure related complications",26
"Postprocedural haemorrhage requiring reoperation,","15.02.65","998.1",,"T81.0",,"Postoperative bleeding","Procedure related complications",27
"Postprocedural coagulopathy,","15.02.03","286.9","E878.8","D68.9","Y83.8","Other postoperative complication","Procedure related complications",28
"Postprocedural haemolysis,","15.02.07","283.1","E878.8","D59.8","Y83.8","Other postoperative complication","Procedure related complications",29
"General systemic complication of cardiac procedure,","15.80.00","998.9",,"T81.8",,"Other postoperative complication","Procedure related complications",30
"Multiple organ dysfunction syndrome (MODS),","15.80.16","998.9",,"T81.8",,"Other postoperative complication","Procedure related complications",31
"Postprocedural metabolic derangement,","15.80.01","277.9","E878.8","E88.9","Y83.8","Other postoperative complication","Procedure related complications",32
"Postprocedural acidosis,","15.80.15","276.2","E878.8","E87.2","Y83.8","Postoperative acidosis","Procedure related complications",33
"Postprocedural septicaemia,","15.80.05","998.5",,"T81.4",,"Postoperative septicemia","Procedure related complications",34
"Capillary leak syndrome,","15.80.06","998.8",,"T81.8",,"Other postoperative complication","Procedure related complications",35
"Systemic inflammatory response syndrome (SIRS),","15.80.19","998.0",,"T81.1",,"Other postoperative complication","Procedure related complications",36
"Pulmonary and thoracic complications",,,,,,,"Pulmonary and thoracic complications",1
"Respiratory complication after cardiac procedure,","15.80.20","997.3",,"J95.9",,"Other postoperative complication","Pulmonary and thoracic complications",2
"Postprocedural requirement for mechanical respiratory support more than 7 days,","15.80.32","518.5",,"J95.3",,"days","Pulmonary and thoracic complications",3
"Postprocedural requirement for reintubation,","15.80.33","518.5",,"J95.1",,"Postoperative respiratory insufficiency requiring reintubation","Pulmonary and thoracic complications",4
"Postprocedural pulmonary infection,","15.80.21","997.3",,"J95.8","J22","Pneumonia","Pulmonary and thoracic complications",5
"Postprocedural lung collapse (atelectasis),","15.80.31","518.0","E878.8","J98.1","Y83.8","Other postoperative complication","Pulmonary and thoracic complications",6
"Residual pulmonary hypertension after relief of left to right shunt,","15.22.31","416.8","E878.8","I27.8","Y83.8","Other postoperative complication","Pulmonary and thoracic complications",7
"Postprocedural pulmonary hypertensive crises,","15.80.22","416.8","E878.8","I27.8","Y83.8","Postoperative pulmonary hypertension crises (PA pressure > systemic pressure)","Pulmonary and thoracic complications",8
"Postprocedural pleural effusion,","15.80.50","511.9","E878.8","J90","Y83.8","Pleural effusion","Pulmonary and thoracic complications",9
"Postprocedural right pleural effusion,","15.80.51","511.9","E878.8","J90","Y83.8","Pleural effusion","Pulmonary and thoracic complications",10
"Postprocedural left pleural effusion,","15.80.52","511.9","E878.8","J90","Y83.8","Pleural effusion","Pulmonary and thoracic complications",11
"Pleural effusion requiring drainage,","15.80.61","511.9",,"J90",,"Pleural effusion requiring drainage","Pulmonary and thoracic complications",12
"Postprocedural chylothorax,","15.80.55","457.8","E878.8","J94.0","Y83.8","Chylothorax","Pulmonary and thoracic complications",13
"Postprocedural haemothorax,","15.80.56","998.1",,"T81.0",,"Pleural effusion","Pulmonary and thoracic complications",14
"Postprocedural pneumothorax,","15.80.62","512","E878.8","J93.9","Y83.8","Pneumothorax","Pulmonary and thoracic complications",15
"Postprocedural Acute Respiratory Distress Syndrome (ARDS),","15.80.29","518.5",,"J80",,"Other postoperative complication","Pulmonary and thoracic complications",16
"Postprocedural requirement for tracheostomy,","15.80.86","997.3",,"J95.3",,"Other postoperative complication","Pulmonary and thoracic complications",17
"Postprocedural complication involving tracheo-bronchial tree,","15.80.70","519.1","997.3","J98.0","Y83.8","Tracheal disease, Other","Pulmonary and thoracic complications",18
"Postprocedural bronchial compression,","15.80.87","519.1","997.3","J98.0","J95.8","Other postoperative complication","Pulmonary and thoracic complications",19
"Complication following respiratory tract stent implantation,","16.50.20","519.8",,"J95.8",,"Other postoperative complication","Pulmonary and thoracic complications",20
"Intraprocedural phrenic nerve injury (paralysed diaphragm),","15.80.90","519.4",,"J98.6",,"Phrenic nerve injury/paralyzed diaphragm","Pulmonary and thoracic complications",21
"Intraprocedural recurrent laryngeal nerve injury (palsy),","15.80.93","352.3","998.2","G52.2","T81.2","Recurrent laryngeal nerve injury/paralyzed vocal cord","Pulmonary and thoracic complications",22
"Postprocedural Horner’s syndrome,","15.80.94","337.9","998.2","G90.2","T81.2","Other postoperative complication","Pulmonary and thoracic complications",23
"Renal, gastrointestinal and neurological complications",,,,,,,"Renal, gastrointestinal and neurological complications",1
"Postprocedural renal failure,","15.82.00","997.5",,"N99.0",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",2
"Renal failure requiring temporary dialysis,","15.82.06","997.5",,"N99.0",,"Acute renal failure requiring temporary dialysis","Renal, gastrointestinal and neurological complications",3
"Renal failure requiring permanent dialysis,","15.82.07","997.5",,"N99.0",,"Acute renal failure requiring permanent dialysis","Renal, gastrointestinal and neurological complications",4
"Postprocedural gastrointestinal bleeding,","15.82.21","578.9","997.4","K92.2","Y83.8","Other postoperative complication","Renal, gastrointestinal and neurological complications",5
"Postprocedural inability to sustain gastric feeding,","15.82.23","997.4",,"K91.8",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",6
"Postprocedural feeding difficulties,","15.82.38","997.4",,"K91.8",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",7
"Postprocedural intestinal obstruction,","15.82.28","997.4",,"K91.3",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",8
"Postprocedural necrotising enterocolitis,","15.82.30","997.4","K55.0","Y83.8",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",9
"Postprocedural peritonitis,","15.82.29","567.9","997.4","K65.0","Y83.8","Other postoperative complication","Renal, gastrointestinal and neurological complications",10
"Pseudomembranous colitis,","15.82.32","8.4",,"A04.7",,"Other postoperative complication","Renal, gastrointestinal and neurological complications",11
"Postprocedural protein losing enteropathy,","15.82.33","579.8","E878.8","K90.4","Y83.8","Other postoperative complication","Renal, gastrointestinal and neurological complications",12
"Postprocedural hepatic impairment,","15.82.43","997.4",,"K72.0","Y83.8","Other postoperative complication","Renal, gastrointestinal and neurological complications",13
"Postprocedural acute pancreatitis,","15.82.47","577.0","997.4","K85","Y83.8","Other postoperative complication","Renal, gastrointestinal and neurological complications",14
