"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Thorax, lung and gastrointestinal procedures","Intestinal procedure,","12.80.10",,,,,,,"Miscellaneous procedure, Other",,
"Thorax, lung and gastrointestinal procedures","Percutaneous feeding gastrostomy tube placement (PEG),","12.80.37",,,,,,,"Miscellaneous procedure, Other",,
"Thorax, lung and gastrointestinal procedures","Laparotomy,","12.80.38",,,,,,,"Miscellaneous procedure, Other",,
"Thorax, lung and gastrointestinal procedures","Non-cardiothoracic-vascular procedure,","12.33.52",,,,,,,"Miscellaneous procedure, Other",,
"Thorax, lung and gastrointestinal procedures","Non-cardiothoracic-vascular procedure on cardiac patient under cardiac anaesthesia,","12.33.53",,,,,,,"Non-cardiovascular, Non-thoracic procedure on cardiac patient with cardiac",,
"Hybrid procedures: operative & transcatheter approaches","Hybrid approach (combined surgical & transluminal),","12.41.30",,,,,,,"Cardiac procedure, Other",,
"Hybrid procedures: operative & transcatheter approaches","Transapical aortic valve implantation (hybrid approach),","12.13.84",,,,,,,"Stent placement",,
"Hybrid procedures: operative & transcatheter approaches","Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach),","12.08.28",,,,,,,"VSD repair, Device",,
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery),","12.20.21",,,,,,,"Cardiac procedure, Other",,
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery): stage 1,","12.20.20",,,,,,,"Hybrid Approach ""Stage 1""",,
"Hybrid procedures: operative & transcatheter approaches","Application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct,","12.10.04",,,,,,,"Cardiac procedure, Other",,
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries + arch repair,","12.20.23",,,,,,,"Cavopulmonary anastomosis(es) + PA Debanding + Aortic arch repair (Norwood [Stage 1] + Superior Cavopulmonary anastomosis(es) + PA Debanding)",,
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries,","12.20.22",,,,,,,"Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior Cavopulmonary anastomosis(es) + PA Debanding + Without aortic arch repair",,
"Transcatheter procedures","Cardiovascular catheter procedure,","12.45.00",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Therapeutic cardiovascular catheter procedure,","12.45.28",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,,,"Cardiovascular catheterization procedure, Diagnostic",,
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure: angiographic data obtained,","13.05.05",,,,,,,"obtained",,
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure with haemodynamic alteration (challenge),","13.05.07",,,,,,,"Cardiovascular catheterization procedure, Diagnostic, Hemodynamic alteration",,
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure: haemodynamic data obtained,","13.05.06",,,,,,,"obtained",,
"Transcatheter procedures","Transluminal diagnostic test occlusion,","12.45.07",,,,,,,"Cardiovascular catheterization procedure, Diagnostic, Transluminal test occlusion",,
"Transcatheter procedures","Transluminal procedure using adjunctive therapy,","12.45.59",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Adjunctive therapy",,
"Transcatheter procedures","Electrophysiological study (EPS),","13.05.12",,,,,,,"Cardiovascular electrophysiological catheterization procedure",,
"Transcatheter procedures","Electrophysiological study (EPS) with three dimensional mapping,","13.05.17",,,,,,,"Cardiovascular electrophysiological catheterization procedure",,
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure with electrophysiological alteration (challenge),","13.05.08",,,,,,,"Cardiovascular catheterization procedure, Diagnostic, Electrophysiology alteration",,
"Transcatheter procedures","Catheterisation study for pulmonary hypertension evaluation,","13.05.13",,,,,,,"Cardiovascular catheterization procedure, Diagnostic",,
"Transcatheter procedures","Transcatheter procedure undertaken with x-ray guidance,","13.05.14",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Transcatheter procedure undertaken with magnetic resonance imaging guidance,","13.05.15",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Transcatheter procedure undertaken with x-ray & magnetic resonance imaging guidance,","13.05.16",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Transcatheter intervention with intracardiac echo guidance (ICE),","13.01.23",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Catheterisation transeptal approach with transeptal puncture,","12.45.01",,,,,,,"Cardiovascular catheterization procedure",,
"Transcatheter procedures","Transluminal retrieval of device or foreign body,","12.45.04",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Repeat cardiovascular catheter procedure for residual or recurrent lesion,","12.45.06",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Balloon dilation of pulmonary vein or pathway,","12.00.24",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of pulmonary vein,","12.00.21",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of pulmonary vein using cutting balloon,","12.00.23",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in pulmonary vein or pathway,","12.00.25",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement in pulmonary vein,","12.00.22",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Balloon dilation of systemic vein or pathway,","12.00.43",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in systemic vein or pathway,","12.00.44",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement in superior caval vein (SVC),","12.00.36",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Balloon atrial septostomy by pull back (Rashkind),","12.01.41",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",,
"Transcatheter procedures","Blade atrial septostomy,","12.01.44",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",,
"Transcatheter procedures","Transluminal fenestration of atrial septum-tunnel,","12.01.47",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Transluminal interatrial communication creation,","12.30.74",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Interatrial communication closure with transluminal device,","12.01.98",,,,,,,"ASD repair, Device",,
"Transcatheter procedures","Atrial septal defect (ASD) secundum closure with transluminal device,","12.01.06",,,,,,,"ASD repair, Device",,
"Transcatheter procedures","Patent foramen ovale (PFO) closure with transluminal device,","12.01.07",,,,,,,"ASD repair, Device",,
"Transcatheter procedures","Right atrial septum-tunnel fenestration closure with transluminal device,","12.30.21",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Transluminal left atrial appendage occlusion with device,","12.38.25",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Balloon dilation of mitral valve,","12.03.10",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,
"Transcatheter procedures","Transluminal prosthetic valve leak closure using device,","12.45.19",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Transluminal mitral valve repair,","12.03.97",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Transluminal right ventricular biopsy,","12.06.25",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Balloon dilation of right ventricular outflow tract,","12.06.05",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in right ventricular outflow tract,","12.06.18",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Balloon dilation of left ventricular outflow tract,","12.07.07",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Ventricular septal defect (VSD) closure with transluminal device,","12.08.07",,,,,,,"VSD repair, Device",,
"Transcatheter procedures","Transluminal fenestration of ventricular septal defect (VSD) patch,","12.08.20",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Transluminal interventricular communication creation,","12.08.65",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Balloon dilation of pulmonary valve,","12.13.05",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,
"Transcatheter procedures","Pulmonary valvar transluminal perforation & dilation,","12.13.09",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Balloon dilation of aortic valve,","12.16.05",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,
"Transcatheter procedures","Aortic valvar transluminal perforation & dilation,","12.16.25",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Transluminal pulmonary valvar insertion with stent mounted valve,","12.13.51",,,,,,,"of valve",,
"Transcatheter procedures","Transluminal aortic valvar insertion with stent mounted valve,","12.13.81",,,,,,,"of valve",,
"Transcatheter procedures","Balloon dilation of pulmonary tree with cutting balloon,","12.15.53",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in pulmonary tree,","12.15.50",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Balloon dilation of pulmonary trunk,","12.14.05",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of right pulmonary artery,","12.15.03",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of left pulmonary artery,","12.15.04",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in right pulmonary artery,","12.15.13",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement in left pulmonary artery,","12.15.14",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Pulmonary trunk flow restriction using transcatheter implanted device,","12.15.25",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Transluminal embolectomy from pulmonary tree,","12.15.49",,,,,,,"Pulmonary embolectomy",,
"Transcatheter procedures","Aortopulmonary window closure with transcatheter device,","12.12.08",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Aortic coarctation transluminal obstruction relief,","12.18.27",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Balloon dilation of native aortic coarctation-hypoplasia,","12.18.04",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of aortic recoarctation,","12.18.08",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement at site of aortic coarctation,","12.18.17",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement at site of native aortic coarctation-hypoplasia,","12.18.48",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement at site of aortic recoarctation,","12.18.22",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Thoracic aorta aneurysm transcatheter stent implantation,","12.18.70",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Stent placement in arterial duct (PDA),","12.10.14",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal device,","12.24.04",,,,,,,"PDA closure, Device",,
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal coil,","12.24.21",,,,,,,"PDA closure, Device",,
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal Amplatzer plug,","12.24.22",,,,,,,"PDA closure, Device",,
"Transcatheter procedures","Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.19",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Balloon dilation of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","12.25.72",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.62",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Transluminal occlusion of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) with coil-device,","12.25.65",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Arteriovenous fistula occlusion,","12.25.02",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",,
"Transcatheter procedures","Venovenous collateral occlusion with device,","12.70.08",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Completion of total cavopulmonary connection (TCPC) using transcatheter inferior to superior caval vein covered stent,","12.30.60",,,,,,,"completion",,
"Transcatheter procedures","Balloon dilation of systemic-to-pulmonary arterial shunt,","12.31.19",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Occlusion of systemic-to-pulmonary arterial shunt by transluminal device-embolus,","12.31.34",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Balloon dilation of cardiac conduit,","12.36.14",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Stent placement in cardiac conduit,","12.36.23",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Pericardiocentesis: percutaneous transcatheter,","12.32.43",,,,,,,"Pericardial drainage procedure",,
"Transcatheter procedures","Transluminal procedure for arrhythmia,","12.35.57",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Transcatheter procedures","Transluminal ablation procedure for arrhythmia,","12.38.40",,,,,,,"ablation",,
"Transcatheter procedures","Transluminal cryoablation procedure for arrhythmia,","12.35.46",,,,,,,"ablation",,
"Transcatheter procedures","Transluminal radiofrequency ablation procedure for arrhythmia,","12.35.48",,,,,,,"ablation",,
"Transcatheter procedures","Transluminal procedure for atrial arrhythmia,","12.35.82",,,,,,,"ablation",,
"Transcatheter procedures","Transluminal procedure for ventricular arrhythmia,","12.35.83",,,,,,,"ablation",,
"Transcatheter procedures","Transluminal ablation procedure with pulmonary vein exclusion,","12.35.84",,,,,,,"ablation",,
"Transcatheter procedures","Automatic cardioverter & defibrillator (ICD) transluminal implantation,","12.42.33",,,,,,,"ICD (AICD) Implantation",,
"Transcatheter procedures","Automatic cardioverter & defibrillator (ICD) transluminal removal,","12.42.35",,,,,,,"ICD (AICD) ([Automatic] implantable cardioverter defibrillator) procedure",,
"Transcatheter procedures","Stent redilation,","12.45.10",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent re-dilation",,
"Transcatheter procedures","Stent placement,","12.45.11",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,
"Transcatheter procedures","Balloon dilation,","12.45.12",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,
"Transcatheter procedures","Balloon dilation of valve,","12.45.21",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,
"Transcatheter procedures","Transluminal device implantation,","12.45.13",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,
"Transcatheter procedures","Transluminal therapeutic perforation to establish interchamber and/or intervessel communication,","12.45.58",,,,,,,"interchamber and/or intervessel communication)",,
"Transcatheter procedures","Transluminal implantation of valve,","12.45.15",,,,,,,"of valve",,
"Transcatheter procedures","Cardiovascular catherisation occlusion procedure with coil,","12.45.14",,,,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",,
"Transcatheter procedures","Transluminal procedure for catheterisation complication,","12.45.30",,,,,,,"Cardiovascular catheterization procedure, Therapeutic",,
"Procedure related complications","No postprocedural complications,","15.90.03",,,,,,,"None",,
"Procedure related complications","Procedure related complication,","15.90.14","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Other postoperative complication","998.9",
"Procedure related complications","Postprocedural complication,","15.90.01","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Other postoperative complication","998.9",
"Procedure related complications","Complication during period of anaesthetic care,","15.90.20","T88.5","Other complications of anaesthesia",,"T88.59","Complications of anaesthesia, not elsewhere classified","T88.51, T88.52, T88.53","Other postoperative complication","995.2",
"Procedure related complications","Medication related complication or error,","15.59.00","Y63.9","Failure in dosage during unspecified surgical and medical care",,"Y63.9","Failure in dosage during unspecified surgical and medical care",,"Other postoperative complication","E858.9",
"Procedure related complications","Complication related to echocardiographic procedure,","15.58.01","Y84.8","Other medical procedures",,"Y84.8","Other medical procedures as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure",,"Other postoperative complication","E879.8",
"Procedure related complications","Vascular line (access) related complication,","15.88.00","Y65.8","Other specified misadventures during surgical and medical care",,"Y65.8","Other specified unintentional events during surgical and medical care",,"Other postoperative complication","E876.9",
"Procedure related complications","Intraoperative death,","12.33.31",,,,,,,"Intraoperative death",,
"Procedure related complications","Death within 30 days of procedure,","12.33.33",,,,,,,,,
"Procedure related complications","Death unrelated to cardiac procedure,","12.33.34",,,,,,,,,
"Procedure related complications","Death attributable to complications following premature birth,","15.90.85",,,,,,,,,
"Procedure related complications","Death attributable to complication(s) following congenital cardiac procedure,","15.90.86",,,,,,,,,
"Procedure related complications","Cardiac arrest during procedure,","15.00.01","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Arrhythmia","997.1",
"Procedure related complications","Cardiac arrest following procedure,","15.00.02","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Postoperative cardiac arrest","997.1",
"Procedure related complications","Postprocedural low cardiac output,","15.00.03","I97.1","Other functional disturbances following cardiac surgery",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.82, I97.83, I50.0, I50.1, I50.9","Postoperative low cardiac output","997.1",
"Procedure related complications","Cardiopulmonary bypass complication,","15.77.00","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","T82.81, T82.82, T82.83, T82.84, T82.85, T82.86","Other postoperative complication","996.1",
"Procedure related complications","Postprocedural requirement for mechanical circulatory support,","15.00.09","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Postoperative mechanical circulatory support (IABP, VAD, ECMO, or CPS)","997.1",
"Procedure related complications","Myocardial infarction following procedure,","15.00.05","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","I21","I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Myocardial infarction","997.1","410"
"Procedure related complications","Postprocedural hypovolaemia,","15.00.30","T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"Other postoperative complication","998.0",
"Procedure related complications","Arrhythmia following procedure,","15.60.02","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","I49.9","I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Postoperative arrhythmia","997.1",
"Procedure related complications","Postprocedural complete atrioventricular block,","11.06.17","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete",,"Arrhythmia, Heart block, Acquired","997.1",
"Procedure related complications","Procedure related complete atrioventricular block requiring temporary pacing,","11.06.32","I44.2","Atrioventricular block, complete","Y83.8","I44.2","Atrioventricular block, complete",,"Postoperative complete AV block requiring temporary pacemaker","997.1",
"Procedure related complications","Procedure related complete atrioventricular block requiring permanent pacemaker system,","11.06.33","I44.2","Atrioventricular block, complete","Y83.8","I44.2","Atrioventricular block, complete",,"Postoperative complete AV block requiring permanent pacemaker","997.1",
"Procedure related complications","Junctional ectopic tachycardia (His bundle): post-op,","11.04.12","I97.1","Other functional disturbances following cardiac surgery",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.82, I97.83, I50.0, I50.1, I50.9","Postoperative arrhythmia","997.1",
"Procedure related complications","Postprocedural haemorrhage,","15.02.00","T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"Postoperative bleeding","998.1",
"Procedure related complications","Postprocedural haemorrhage requiring reoperation,","15.02.65","T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"Postoperative bleeding","998.1",
"Procedure related complications","Postprocedural coagulopathy,","15.02.03","D68.9","Coagulation defect, unspecified","Y83.8","D68.9","Coagulation defect, unspecified",,"Other postoperative complication","286.9","E878.8"
"Procedure related complications","Postprocedural haemolysis,","15.02.07","D59.8","Other acquired haemolytic anaemias","Y83.8","D59.8","Other acquired haemolytic anaemias",,"Other postoperative complication","283.1","E878.8"
"Procedure related complications","General systemic complication of cardiac procedure,","15.80.00","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Other postoperative complication","998.9",
"Procedure related complications","Multiple organ dysfunction syndrome (MODS),","15.80.16","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Other postoperative complication","998.9",
"Procedure related complications","Postprocedural metabolic derangement,","15.80.01","E88.9","Metabolic disorder, unspecified","Y83.8","E88.9","Metabolic disorder, unspecified",,"Other postoperative complication","277.9","E878.8"
"Procedure related complications","Postprocedural acidosis,","15.80.15","E87.2","Acidosis","Y83.8","E87.2","Acidosis",,"Postoperative acidosis","276.2","E878.8"
"Procedure related complications","Postprocedural septicaemia,","15.80.05","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified",,"Postoperative septicemia","998.5",
"Procedure related complications","Capillary leak syndrome,","15.80.06","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","T81.81, T81.82, T81.83, T81.84","Other postoperative complication","998.8",
"Procedure related complications","Systemic inflammatory response syndrome (SIRS),","15.80.19","T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"Other postoperative complication","998.0",
"Pulmonary and thoracic complications","Respiratory complication after cardiac procedure,","15.80.20","J95.9","Postprocedural respiratory disorder, unspecified",,"J95.9","Intraoperative and postprocedural disorders of respiratory system, unspecified",,"Other postoperative complication","997.3",
"Pulmonary and thoracic complications","Postprocedural requirement for mechanical respiratory support more than 7 days,","15.80.32","J95.3","Chronic pulmonary insufficiency following surgery",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J96.19","days","518.5",
"Pulmonary and thoracic complications","Postprocedural requirement for reintubation,","15.80.33","J95.1","Acute pulmonary insufficiency following thoracic surgery",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J96.09","Postoperative respiratory insufficiency requiring reintubation","518.5",
"Pulmonary and thoracic complications","Postprocedural pulmonary infection,","15.80.21","J95.8","Other postprocedural respiratory disorders","J22","J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J95.81, J95.82, J95.83, J95.84, J95.85","Pneumonia","997.3",
"Pulmonary and thoracic complications","Postprocedural lung collapse (atelectasis),","15.80.31","J98.1","Pulmonary collapse","Y83.8","J98.1","Pulmonary collapse",,"Other postoperative complication","518.0","E878.8"
"Pulmonary and thoracic complications","Residual pulmonary hypertension after relief of left to right shunt,","15.22.31","I27.8","Other specified pulmonary heart diseases","Y83.8","I27.8","Other specified pulmonary heart diseases",,"Other postoperative complication","416.8","E878.8"
"Pulmonary and thoracic complications","Postprocedural pulmonary hypertensive crises,","15.80.22","I27.8","Other specified pulmonary heart diseases","Y83.8","I27.8","Other specified pulmonary heart diseases",,"Postoperative pulmonary hypertension crises (PA pressure > systemic pressure)","416.8","E878.8"
"Pulmonary and thoracic complications","Postprocedural pleural effusion,","15.80.50","J90","Pleural effusion, not elsewhere classified","Y83.8","J90","Pleural effusion, not elsewhere classified",,"Pleural effusion","511.9","E878.8"
"Pulmonary and thoracic complications","Postprocedural right pleural effusion,","15.80.51","J90","Pleural effusion, not elsewhere classified","Y83.8","J90","Pleural effusion, not elsewhere classified",,"Pleural effusion","511.9","E878.8"
"Pulmonary and thoracic complications","Postprocedural left pleural effusion,","15.80.52","J90","Pleural effusion, not elsewhere classified","Y83.8","J90","Pleural effusion, not elsewhere classified",,"Pleural effusion","511.9","E878.8"
"Pulmonary and thoracic complications","Pleural effusion requiring drainage,","15.80.61","J90","Pleural effusion, not elsewhere classified",,"J90","Pleural effusion, not elsewhere classified",,"Pleural effusion requiring drainage","511.9",
"Pulmonary and thoracic complications","Postprocedural chylothorax,","15.80.55","J94.0","Chylous effusion","Y83.8","J94.0","Chylous effusion",,"Chylothorax","457.8","E878.8"
"Pulmonary and thoracic complications","Postprocedural haemothorax,","15.80.56","T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"Pleural effusion","998.1",
"Pulmonary and thoracic complications","Postprocedural pneumothorax,","15.80.62","J93.9","Pneumothorax, unspecified","Y83.8","J93.9","Pneumothorax, unspecified",,"Pneumothorax","512","E878.8"
"Pulmonary and thoracic complications","Postprocedural Acute Respiratory Distress Syndrome (ARDS),","15.80.29","J80","Adult respiratory distress syndrome",,"J80","Acute respiratory distress syndrome",,"Other postoperative complication","518.5",
"Pulmonary and thoracic complications","Postprocedural requirement for tracheostomy,","15.80.86","J95.3","Chronic pulmonary insufficiency following surgery",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J96.19","Other postoperative complication","997.3",
"Pulmonary and thoracic complications","Postprocedural complication involving tracheo-bronchial tree,","15.80.70","J98.0","Diseases of bronchus, not elsewhere classified","Y83.8","J98.0","Diseases of bronchus, not elsewhere classified",,"Tracheal disease, Other","519.1","997.3"
"Pulmonary and thoracic complications","Postprocedural bronchial compression,","15.80.87","J98.0","Diseases of bronchus, not elsewhere classified","J95.8","J98.0","Diseases of bronchus, not elsewhere classified",,"Other postoperative complication","519.1","997.3"
