"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Coronary arterial surgical and transluminal procedures","Coronary arterial procedure,","12.23.09",,,,,,"Coronary artery procedure, Other",,,304,282
"Coronary arterial surgical and transluminal procedures","Coronary arterial fistula transluminal occlusion,","12.23.13",,,,,,"Coil embolisation",,,305,283
"Coronary arterial surgical and transluminal procedures","Transluminal intracoronary injection of thrombolytic agent,","12.23.30",,,,,,"Cardiac procedure, Other",,,306,284
"Coronary arterial surgical and transluminal procedures","Transluminal balloon coronary angioplasty (PTCA),","12.23.31",,,,,,"Balloon dilation",,,307,285
"Coronary arterial surgical and transluminal procedures","Transluminal coronary stent implantation,","12.23.38",,,,,,"Stent placement",,,308,286
"Coronary arterial surgical and transluminal procedures","Transluminal chemical occlusion of coronary artery,","12.23.42",,,,,,"Cardiac procedure, Other",,,309,287
"Coronary arterial surgical and transluminal procedures","Left ventricular outflow tract obstruction relief by transcatheter coronary chemical ablation,","12.07.19",,,,,,"Cardiac procedure, Other",,,310,288
"Arrhythmia, transplant and miscellaneous cardiac operations","DC cardioversion,","12.32.14",,,,,,"Cardiac procedure, Other",,,311,289
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacing to abolish arrhythmia,","12.35.60",,,,,,"Cardiac procedure, Other",,,312,290
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: temporary,","12.34.60",,,,,,"Pacemaker procedure",,,313,291
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: permanent,","12.34.67",,,,,,"Pacemaker Implantation, Permanent",,,314,292
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: permanent epicardial,","12.34.63",,,,,,"Pacemaker Implantation, Permanent",,,315,293
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: permanent endocardial,","12.34.64",,,,,,"Pacemaker Implantation, Permanent",,,316,294
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: single chamber,","12.34.50",,,,,,"Pacemaker Implantation, Permanent",,,317,295
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: dual chamber,","12.34.51",,,,,,"Pacemaker Implantation, Permanent",,,318,296
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker system placement: biventricular,","12.34.52",,,,,,"Pacemaker Implantation, Permanent",,,319,297
"Arrhythmia, transplant and miscellaneous cardiac operations","Cardiac resynchronisation therapy (biventricular pacing),","12.34.73",,,,,,"Pacemaker Implantation, Permanent",,,320,298
"Arrhythmia, transplant and miscellaneous cardiac operations","Pulse generator box placement,","12.34.85",,,,,,"Pacemaker procedure",,,321,299
"Arrhythmia, transplant and miscellaneous cardiac operations","Pulse generator box replacement,","12.35.13",,,,,,"Pacemaker procedure",,,322,300
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker wire procedure,","12.34.70",,,,,,"Pacemaker procedure",,,323,301
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker wire revision procedure,","12.34.84",,,,,,"Pacemaker procedure",,,324,302
"Arrhythmia, transplant and miscellaneous cardiac operations","Pacemaker procedure,","12.34.68",,,,,,"Pacemaker procedure",,,325,303
"Arrhythmia, transplant and miscellaneous cardiac operations","Arrhythmia surgical procedure,","12.35.40",,,,,,"Arrhythmia surgery",,,326,304
"Arrhythmia, transplant and miscellaneous cardiac operations","Surgical localisation and mapping procedure for arrhythmia,","12.38.50",,,,,,"Arrhythmia surgery",,,327,305
"Arrhythmia, transplant and miscellaneous cardiac operations","Surgical ablation procedure for atrial arrhythmia,","12.35.80",,,,,,"Arrhythmia surgery: Atrial, Surgical ablation",,,328,306
"Arrhythmia, transplant and miscellaneous cardiac operations","Surgical ablation procedure for ventricular arrhythmia,","12.35.81",,,,,,"Arrhythmia surgery: Ventricular, Surgical ablation",,,329,307
"Arrhythmia, transplant and miscellaneous cardiac operations","Percutaneous radiofrequency epicardial ablation procedure for arrhythmia,","12.38.69",,,,,,"Arrhythmia surgery",,,330,308
"Arrhythmia, transplant and miscellaneous cardiac operations","Maze operation,","12.35.53",,,,,,"Arrhythmia surgery: Atrial, Surgical ablation",,,331,309
"Arrhythmia, transplant and miscellaneous cardiac operations","Cox-Maze IV procedure,","12.35.72",,,,,,"Arrhythmia surgery: Atrial, Surgical ablation",,,332,310
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) implantation,","12.42.31",,,,,,"ICD (AICD) Implantation",,,333,311
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) implantation: single chamber,","12.42.61",,,,,,"ICD (AICD) Implantation",,,334,312
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) implantation: dual chamber,","12.42.64",,,,,,"ICD (AICD) Implantation",,,335,313
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) implantation: biventricular,","12.42.65",,,,,,"ICD (AICD) Implantation",,,336,314
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) procedure,","12.42.39",,,,,,"ICD (AICD) ([Automatic] implantable cardioverter defibrillator) procedure",,,337,315
"Arrhythmia, transplant and miscellaneous cardiac operations","Implantable cardioverter & defibrillator (ICD) system removal,","12.42.34",,,,,,"Explantation of pacing system",,,338,316
"Arrhythmia, transplant and miscellaneous cardiac operations","Removal of complete implanted cardiac pacemaker system,","12.35.14",,,,,,"Explantation of pacing system",,,339,317
"Arrhythmia, transplant and miscellaneous cardiac operations","Removal of implanted pacemaker lead,","12.44.75",,,,,,"Pacemaker procedure",,,340,318
"Arrhythmia, transplant and miscellaneous cardiac operations","Heart transplant,","12.37.01",,,,,,"Transplant, Heart",,,341,319
"Arrhythmia, transplant and miscellaneous cardiac operations","Transplantation of heart: orthotopic allotransplant,","12.37.02",,,,,,"Transplant, Heart",,,342,320
"Arrhythmia, transplant and miscellaneous cardiac operations","Transplantation of heart: heterotopic (piggy back) allotransplant,","12.37.03",,,,,,"Transplant, Heart",,,343,321
"Arrhythmia, transplant and miscellaneous cardiac operations","Transplantation of heart: ABO incompatible donor,","12.37.06",,,,,,"Transplant, Lung(s)",,,344,322
"Arrhythmia, transplant and miscellaneous cardiac operations","Lung(s) transplant,","12.37.60",,,,,,"Transplant, Lung(s)",,,345,323
"Arrhythmia, transplant and miscellaneous cardiac operations","Single lung transplant,","12.37.13",,,,,,"Transplant, Lung(s)",,,346,324
"Arrhythmia, transplant and miscellaneous cardiac operations","Double lung transplant,","12.37.20",,,,,,"Transplant, Lung(s)",,,347,325
"Arrhythmia, transplant and miscellaneous cardiac operations","Transplantation of heart and lungs,","12.32.13",,,,,,"Transplant, Heart and lung(s)",,,348,326
"Arrhythmia, transplant and miscellaneous cardiac operations","Organ procurement for transplantation,","12.37.70",,,,,,"Miscellaneous procedure, Other",,,349,327
"Arrhythmia, transplant and miscellaneous cardiac operations","Pericardiocentesis,","12.32.40",,,,,,"Pericardial drainage procedure",,,350,328
"Arrhythmia, transplant and miscellaneous cardiac operations","Pericardial drainage: open (pericardiotomy),","12.32.41",,,,,,"Pericardial drainage procedure",,,351,329
"Arrhythmia, transplant and miscellaneous cardiac operations","Pericardial window creation,","12.32.46",,,,,,"Pericardial drainage procedure",,,352,330
"Arrhythmia, transplant and miscellaneous cardiac operations","Pericardial biopsy,","12.32.53",,,,,,"Pericardial procedure, Other",,,353,331
"Arrhythmia, transplant and miscellaneous cardiac operations","Pericardiectomy,","12.32.09",,,,,,"Pericardiectomy",,,354,332
"Arrhythmia, transplant and miscellaneous cardiac operations","Procedure involving pericardium,","12.32.59",,,,,,"Pericardial procedure, Other",,,355,333
"Arrhythmia, transplant and miscellaneous cardiac operations","Medical management of pericardial disease,","12.33.70",,,,,,,,,356,334
"Arrhythmia, transplant and miscellaneous cardiac operations","Heart tumour resection,","12.32.10",,,,,,"Cardiac tumor resection",,,357,335
"Arrhythmia, transplant and miscellaneous cardiac operations","Removal of cardiac vegetations,","12.32.20",,,,,,"Cardiac procedure, Other",,,358,336
"Arrhythmia, transplant and miscellaneous cardiac operations","Removal of cardiac thrombus,","12.32.22",,,,,,"Cardiac procedure, Other",,,359,337
"Arrhythmia, transplant and miscellaneous cardiac operations","Traumatic injury of heart repair,","12.33.10",,,,,,"Cardiac procedure, Other",,,360,338
"Arrhythmia, transplant and miscellaneous cardiac operations","Cardiac procedure,","12.32.21",,,,,,"Cardiac procedure, Other",,,361,339
"Arrhythmia, transplant and miscellaneous cardiac operations","Palliative procedure,","12.43.25",,,,,,"Palliation, Other",,,362,340
"Arrhythmia, transplant and miscellaneous cardiac operations","Peripheral vascular procedure,","12.33.51",,,,,,"Peripheral vascular procedure, Other",,,363,341
"Postoperative and cardiac support procedures","Postoperative procedure,","12.32.00",,,,,,"Miscellaneous procedure, Other",,,364,342
"Postoperative and cardiac support procedures","Delayed closure of sternum,","12.65.60",,,,,,"Delayed sternal closure",,,365,343
"Postoperative and cardiac support procedures","Postoperative procedure to control bleeding,","12.32.18",,,,,,"Thoracic and-or mediastinal procedure, Other",,,366,344
"Postoperative and cardiac support procedures","Plication of hemidiaphragm,","12.32.70",,,,,,"Diaphragm plication",,,367,345
"Postoperative and cardiac support procedures","Thoracic duct occlusion,","12.32.28",,,,,,"Ligation, Thoracic duct",,,368,346
"Postoperative and cardiac support procedures","Instigation of renal dialysis,","12.32.90",,,,,,"Miscellaneous procedure, Other",,,369,347
"Postoperative and cardiac support procedures","Cardiac support procedure,","12.87.01",,,,,,"Cardiac procedure, Other",,,370,348
"Postoperative and cardiac support procedures","Intra-aortic balloon pump (IABP) insertion,","12.87.10",,,,,,"Intra-aortic balloon pump (IABP) insertion",,,371,349
"Postoperative and cardiac support procedures","Intra-aortic balloon pump (IABP) removal: transluminal,","12.87.02",,,,,,"Intra-aortic balloon pump (IABP) insertion",,,372,350
"Postoperative and cardiac support procedures","Intra-aortic balloon pump (IABP) insertion: open,","12.87.04",,,,,,"Intra-aortic balloon pump (IABP) insertion",,,373,351
"Postoperative and cardiac support procedures","Ventricular assist device implantation,","12.87.21",,,,,,"Right / Left heart assist device procedure",,,374,352
"Postoperative and cardiac support procedures","Right ventricular assist device implantation,","12.87.22",,,,,,"Right / Left heart assist device procedure",,,375,353
"Postoperative and cardiac support procedures","Left ventricular assist device implantation,","12.87.23",,,,,,"Right / Left heart assist device procedure",,,376,354
"Postoperative and cardiac support procedures","Biventricular assist device implantation,","12.87.24",,,,,,"Right / Left heart assist device procedure",,,377,355
"Postoperative and cardiac support procedures","Ventricular assist device removal,","12.87.41",,,,,,"Right / Left heart assist device procedure",,,378,356
"Postoperative and cardiac support procedures","Cardiac support using Extracorporeal Membrane Oxygenation (ECMO) circuitry,","12.87.25",,,,,,"ECMO cannulation",,,379,357
"Postoperative and cardiac support procedures","Take down of Extracorporeal Membrane Oxygenation (ECMO) circuitry,","12.87.45",,,,,,"ECMO decannulation",,,380,358
"Postoperative and cardiac support procedures","Procedure involving Extracorporeal Membrane Oxygenation (ECMO) circuitry,","12.87.28",,,,,,"ECMO procedure",,,381,359
"Postoperative and cardiac support procedures","Operation related to transcatheter procedure,","12.33.60",,,,,,"Cardiac procedure, Other",,,382,360
"Postoperative and cardiac support procedures","Cardiomyoplasty procedure,","12.87.31",,,,,,"Cardiac procedure, Other",,,383,361
"Postoperative and cardiac support procedures","Prosthetic heart implantation,","12.37.04",,,,,,"Right / Left heart assist device procedure",,,384,362
"Postoperative and cardiac support procedures","Sternotomy wound drainage,","12.65.56",,,,,,"Thoracic and-or mediastinal procedure, Other",,,385,363
"Thorax, lung and gastrointestinal procedures","Debridement of chest wall incision,","12.65.45",,,,,,"Thoracic and-or mediastinal procedure, Other",,,386,364
"Thorax, lung and gastrointestinal procedures","Anterior chest wall (pectus) repair,","12.65.23",,,,,,"Pectus repair",,,387,365
"Thorax, lung and gastrointestinal procedures","Pectus carinatum repair,","12.65.13",,,,,,"Pectus repair",,,388,366
"Thorax, lung and gastrointestinal procedures","Pectus excavatum repair,","12.65.14",,,,,,"Pectus repair",,,389,367
"Thorax, lung and gastrointestinal procedures","Sternal wire removal from previous sternotomy,","12.65.48",,,,,,"Thoracic and-or mediastinal procedure, Other",,,390,368
"Thorax, lung and gastrointestinal procedures","Mediastinal procedure,","12.65.06",,,,,,"Mediastinal procedure",,,391,369
"Thorax, lung and gastrointestinal procedures","Mediastinal exploration,","12.65.05",,,,,,"Mediastinal exploration",,,392,370
"Thorax, lung and gastrointestinal procedures","Insertion of mediastinal tube drain,","12.32.83",,,,,,"Sternotomy wound drainage",,,393,371
"Thorax, lung and gastrointestinal procedures","Pleural procedure,","12.65.89",,,,,,"Pleural procedure, Other",,,394,372
"Thorax, lung and gastrointestinal procedures","Insertion of pleural tube drain,","12.32.80",,,,,,"Pleural drainage procedure",,,395,373
"Thorax, lung and gastrointestinal procedures","Pleurodesis,","12.65.82",,,,,,"Pleural procedure, Other",,,396,374
"Thorax, lung and gastrointestinal procedures","Parietal pleurectomy,","12.32.17",,,,,,"Pleural procedure, Other",,,397,375
"Thorax, lung and gastrointestinal procedures","Open excision of pleural lesion,","12.65.72",,,,,,"Pleural procedure, Other",,,398,376
"Thorax, lung and gastrointestinal procedures","Bronchoscopy,","12.64.00",,,,,,"Bronchoscopy",,,399,377
"Thorax, lung and gastrointestinal procedures","Bronchoscopic removal of foreign body,","12.64.08",,,,,,"Bronchoscopy",,,400,378
"Thorax, lung and gastrointestinal procedures","Tracheal procedure,","12.64.20",,,,,,"Tracheal procedure",,,401,379
"Thorax, lung and gastrointestinal procedures","Tracheostomy creation,","12.64.21",,,,,,"Postoperative tracheostomy",,,402,380
"Thorax, lung and gastrointestinal procedures","Tracheobronchial reconstruction procedure,","12.64.40",,,,,,"Tracheal procedure",,,403,381
"Thorax, lung and gastrointestinal procedures","Lung procedure,","12.66.00",,,,,,"Lung procedure, Other",,,404,382
"Thorax, lung and gastrointestinal procedures","Lung biopsy procedure,","12.32.06",,,,,,"Lung biopsy",,,405,383
"Thorax, lung and gastrointestinal procedures","Lung decortication,","12.66.01",,,,,,"Decortication",,,406,384
"Thorax, lung and gastrointestinal procedures","Lung mass excision,","12.66.02",,,,,,"Lung procedure, Other",,,407,385
"Thorax, lung and gastrointestinal procedures","Lung lobectomy,","12.66.05",,,,,,"Lung procedure, Other",,,408,386
"Thorax, lung and gastrointestinal procedures","Pneumonectomy,","12.66.06",,,,,,"Lung procedure, Other",,,409,387
"Thorax, lung and gastrointestinal procedures","Lung sequestration repair,","12.66.07",,,,,,"Lung procedure, Other",,,410,388
"Thorax, lung and gastrointestinal procedures","Thoracic-mediastinal procedure,","12.80.00",,,,,,"Thoracic and-or mediastinal procedure, Other",,,411,389
"Thorax, lung and gastrointestinal procedures","Oesophageal procedure,","12.80.01",,,,,,"Thoracic and-or mediastinal procedure, Other",,,412,390
"Thorax, lung and gastrointestinal procedures","Diaphragm procedure,","12.32.29",,,,,,"Diaphragm procedure, Other",,,413,391
"Thorax, lung and gastrointestinal procedures","Intestinal procedure,","12.80.10",,,,,,"Miscellaneous procedure, Other",,,414,392
"Thorax, lung and gastrointestinal procedures","Percutaneous feeding gastrostomy tube placement (PEG),","12.80.37",,,,,,"Miscellaneous procedure, Other",,,415,393
"Thorax, lung and gastrointestinal procedures","Laparotomy,","12.80.38",,,,,,"Miscellaneous procedure, Other",,,416,394
"Thorax, lung and gastrointestinal procedures","Non-cardiothoracic-vascular procedure,","12.33.52",,,,,,"Miscellaneous procedure, Other",,,417,395
"Thorax, lung and gastrointestinal procedures","Non-cardiothoracic-vascular procedure on cardiac patient under cardiac anaesthesia,","12.33.53",,,,,,"Non-cardiovascular, Non-thoracic procedure on cardiac patient with cardiac",,,418,396
"Hybrid procedures: operative & transcatheter approaches","Hybrid approach (combined surgical & transluminal),","12.41.30",,,,,,"Cardiac procedure, Other",,,419,397
"Hybrid procedures: operative & transcatheter approaches","Transapical aortic valve implantation (hybrid approach),","12.13.84",,,,,,"Stent placement",,,420,398
"Hybrid procedures: operative & transcatheter approaches","Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach),","12.08.28",,,,,,"VSD repair, Device",,,421,399
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery),","12.20.21",,,,,,"Cardiac procedure, Other",,,422,400
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery): stage 1,","12.20.20",,,,,,"Hybrid Approach ""Stage 1""",,,423,401
"Hybrid procedures: operative & transcatheter approaches","Application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct,","12.10.04",,,,,,"Cardiac procedure, Other",,,424,402
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries + arch repair,","12.20.23",,,,,,"Cavopulmonary anastomosis(es) + PA Debanding + Aortic arch repair (Norwood [Stage 1] + Superior Cavopulmonary anastomosis(es) + PA Debanding)",,,425,403
"Hybrid procedures: operative & transcatheter approaches","Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2': aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries,","12.20.22",,,,,,"Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior Cavopulmonary anastomosis(es) + PA Debanding + Without aortic arch repair",,,426,404
"Transcatheter procedures","Cardiovascular catheter procedure,","12.45.00",,,,,,"Cardiovascular catheterization procedure",,,427,405
"Transcatheter procedures","Therapeutic cardiovascular catheter procedure,","12.45.28",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,428,406
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,,"Cardiovascular catheterization procedure, Diagnostic",,,429,407
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure: angiographic data obtained,","13.05.05",,,,,,"obtained",,,430,408
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure with haemodynamic alteration (challenge),","13.05.07",,,,,,"Cardiovascular catheterization procedure, Diagnostic, Hemodynamic alteration",,,431,409
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure: haemodynamic data obtained,","13.05.06",,,,,,"obtained",,,432,410
"Transcatheter procedures","Transluminal diagnostic test occlusion,","12.45.07",,,,,,"Cardiovascular catheterization procedure, Diagnostic, Transluminal test occlusion",,,433,411
"Transcatheter procedures","Transluminal procedure using adjunctive therapy,","12.45.59",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Adjunctive therapy",,,434,412
"Transcatheter procedures","Electrophysiological study (EPS),","13.05.12",,,,,,"Cardiovascular electrophysiological catheterization procedure",,,435,413
"Transcatheter procedures","Electrophysiological study (EPS) with three dimensional mapping,","13.05.17",,,,,,"Cardiovascular electrophysiological catheterization procedure",,,436,414
"Transcatheter procedures","Diagnostic cardiovascular catheterisation procedure with electrophysiological alteration (challenge),","13.05.08",,,,,,"Cardiovascular catheterization procedure, Diagnostic, Electrophysiology alteration",,,437,415
"Transcatheter procedures","Catheterisation study for pulmonary hypertension evaluation,","13.05.13",,,,,,"Cardiovascular catheterization procedure, Diagnostic",,,438,416
"Transcatheter procedures","Transcatheter procedure undertaken with x-ray guidance,","13.05.14",,,,,,"Cardiovascular catheterization procedure",,,439,417
"Transcatheter procedures","Transcatheter procedure undertaken with magnetic resonance imaging guidance,","13.05.15",,,,,,"Cardiovascular catheterization procedure",,,440,418
"Transcatheter procedures","Transcatheter procedure undertaken with x-ray & magnetic resonance imaging guidance,","13.05.16",,,,,,"Cardiovascular catheterization procedure",,,441,419
"Transcatheter procedures","Transcatheter intervention with intracardiac echo guidance (ICE),","13.01.23",,,,,,"Cardiovascular catheterization procedure",,,442,420
"Transcatheter procedures","Catheterisation transeptal approach with transeptal puncture,","12.45.01",,,,,,"Cardiovascular catheterization procedure",,,443,421
"Transcatheter procedures","Transluminal retrieval of device or foreign body,","12.45.04",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,444,422
"Transcatheter procedures","Repeat cardiovascular catheter procedure for residual or recurrent lesion,","12.45.06",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,445,423
"Transcatheter procedures","Balloon dilation of pulmonary vein or pathway,","12.00.24",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,446,424
"Transcatheter procedures","Balloon dilation of pulmonary vein,","12.00.21",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,447,425
"Transcatheter procedures","Balloon dilation of pulmonary vein using cutting balloon,","12.00.23",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,448,426
"Transcatheter procedures","Stent placement in pulmonary vein or pathway,","12.00.25",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,449,427
"Transcatheter procedures","Stent placement in pulmonary vein,","12.00.22",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,450,428
"Transcatheter procedures","Balloon dilation of systemic vein or pathway,","12.00.43",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,451,429
"Transcatheter procedures","Stent placement in systemic vein or pathway,","12.00.44",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,452,430
"Transcatheter procedures","Stent placement in superior caval vein (SVC),","12.00.36",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,453,431
"Transcatheter procedures","Balloon atrial septostomy by pull back (Rashkind),","12.01.41",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",,,454,432
"Transcatheter procedures","Blade atrial septostomy,","12.01.44",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",,,455,433
"Transcatheter procedures","Transluminal fenestration of atrial septum-tunnel,","12.01.47",,,,,,"interchamber and/or intervessel communication)",,,456,434
"Transcatheter procedures","Transluminal interatrial communication creation,","12.30.74",,,,,,"interchamber and/or intervessel communication)",,,457,435
"Transcatheter procedures","Interatrial communication closure with transluminal device,","12.01.98",,,,,,"ASD repair, Device",,,458,436
"Transcatheter procedures","Atrial septal defect (ASD) secundum closure with transluminal device,","12.01.06",,,,,,"ASD repair, Device",,,459,437
"Transcatheter procedures","Patent foramen ovale (PFO) closure with transluminal device,","12.01.07",,,,,,"ASD repair, Device",,,460,438
"Transcatheter procedures","Right atrial septum-tunnel fenestration closure with transluminal device,","12.30.21",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,461,439
"Transcatheter procedures","Transluminal left atrial appendage occlusion with device,","12.38.25",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,462,440
"Transcatheter procedures","Balloon dilation of mitral valve,","12.03.10",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,,463,441
"Transcatheter procedures","Transluminal prosthetic valve leak closure using device,","12.45.19",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,464,442
"Transcatheter procedures","Transluminal mitral valve repair,","12.03.97",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,465,443
"Transcatheter procedures","Transluminal right ventricular biopsy,","12.06.25",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,466,444
"Transcatheter procedures","Balloon dilation of right ventricular outflow tract,","12.06.05",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,467,445
"Transcatheter procedures","Stent placement in right ventricular outflow tract,","12.06.18",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,468,446
"Transcatheter procedures","Balloon dilation of left ventricular outflow tract,","12.07.07",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,469,447
"Transcatheter procedures","Ventricular septal defect (VSD) closure with transluminal device,","12.08.07",,,,,,"VSD repair, Device",,,470,448
"Transcatheter procedures","Transluminal fenestration of ventricular septal defect (VSD) patch,","12.08.20",,,,,,"interchamber and/or intervessel communication)",,,471,449
"Transcatheter procedures","Transluminal interventricular communication creation,","12.08.65",,,,,,"interchamber and/or intervessel communication)",,,472,450
"Transcatheter procedures","Balloon dilation of pulmonary valve,","12.13.05",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,,473,451
"Transcatheter procedures","Pulmonary valvar transluminal perforation & dilation,","12.13.09",,,,,,"interchamber and/or intervessel communication)",,,474,452
"Transcatheter procedures","Balloon dilation of aortic valve,","12.16.05",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,,475,453
"Transcatheter procedures","Aortic valvar transluminal perforation & dilation,","12.16.25",,,,,,"interchamber and/or intervessel communication)",,,476,454
"Transcatheter procedures","Transluminal pulmonary valvar insertion with stent mounted valve,","12.13.51",,,,,,"of valve",,,477,455
"Transcatheter procedures","Transluminal aortic valvar insertion with stent mounted valve,","12.13.81",,,,,,"of valve",,,478,456
"Transcatheter procedures","Balloon dilation of pulmonary tree with cutting balloon,","12.15.53",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,479,457
"Transcatheter procedures","Stent placement in pulmonary tree,","12.15.50",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,480,458
"Transcatheter procedures","Balloon dilation of pulmonary trunk,","12.14.05",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,481,459
"Transcatheter procedures","Balloon dilation of right pulmonary artery,","12.15.03",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,482,460
"Transcatheter procedures","Balloon dilation of left pulmonary artery,","12.15.04",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,483,461
"Transcatheter procedures","Stent placement in right pulmonary artery,","12.15.13",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,484,462
"Transcatheter procedures","Stent placement in left pulmonary artery,","12.15.14",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,485,463
"Transcatheter procedures","Pulmonary trunk flow restriction using transcatheter implanted device,","12.15.25",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,486,464
"Transcatheter procedures","Transluminal embolectomy from pulmonary tree,","12.15.49",,,,,,"Pulmonary embolectomy",,,487,465
"Transcatheter procedures","Aortopulmonary window closure with transcatheter device,","12.12.08",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,488,466
"Transcatheter procedures","Aortic coarctation transluminal obstruction relief,","12.18.27",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,489,467
"Transcatheter procedures","Balloon dilation of native aortic coarctation-hypoplasia,","12.18.04",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,490,468
"Transcatheter procedures","Balloon dilation of aortic recoarctation,","12.18.08",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,491,469
"Transcatheter procedures","Stent placement at site of aortic coarctation,","12.18.17",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,492,470
"Transcatheter procedures","Stent placement at site of native aortic coarctation-hypoplasia,","12.18.48",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,493,471
"Transcatheter procedures","Stent placement at site of aortic recoarctation,","12.18.22",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,494,472
"Transcatheter procedures","Thoracic aorta aneurysm transcatheter stent implantation,","12.18.70",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,495,473
